Fiscal year,Profit Centre,Product Group Name,General Ledger code,General Ledger Name/Income Type,Country,Country Name,Invoice Currency,Amount Invoice Currency ,GBP Equivalent,Quantity,Region,Aa Country,Profit Center &Product,Profit Center &Income type,Invoiced/Quantity
2020,C003,A and AS LEVEL,102000,Subject Fees,MY,Malaysia,GBP,"1,786,229",1786229,27476,Southeast Asia & Pacific,MY Malaysia,C003-A and AS LEVEL,C003-Subject Fees,65
2020,C003,A and AS LEVEL,102000,Subject Fees,MZ,Mozambique,GBP,"28,902",28902,643,Sub-Saharan Africa,MZ Mozambique,C003-A and AS LEVEL,C003-Subject Fees,45
2020,C003,A and AS LEVEL,102000,Subject Fees,NA,Namibia,GBP,"14,708",14708,327,Sub-Saharan Africa,NA Namibia,C003-A and AS LEVEL,C003-Subject Fees,45
2020,C003,A and AS LEVEL,102000,Subject Fees,NG,Nigeria,GBP,"133,109",133109,2301,Sub-Saharan Africa,NG Nigeria,C003-A and AS LEVEL,C003-Subject Fees,58
2020,C003,A and AS LEVEL,102000,Subject Fees,NL,Netherlands,EUR,"131,093",111938,859,Europe,NL Netherlands,C003-A and AS LEVEL,C003-Subject Fees,153
2020,C003,A and AS LEVEL,102000,Subject Fees,NP,Nepal,GBP,"565,224",565224,9681,South Asia,NP Nepal,C003-A and AS LEVEL,C003-Subject Fees,58
2020,C003,A and AS LEVEL,102000,Subject Fees,NZ,New Zealand,GBP,"675,198",675198,11233,Southeast Asia & Pacific,NZ New Zealand,C003-A and AS LEVEL,C003-Subject Fees,60
2020,C003,A and AS LEVEL,102000,Subject Fees,OM,Oman,GBP,"43,100",43100,481,Middle East & North Africa,OM Oman,C003-A and AS LEVEL,C003-Subject Fees,90
2020,C003,A and AS LEVEL,102000,Subject Fees,PA,Panama,USD,"78,265",64104,732,Latin America,PA Panama,C003-A and AS LEVEL,C003-Subject Fees,107
2020,C003,A and AS LEVEL,102000,Subject Fees,PE,Peru,USD,"26,503",21750,255,Latin America,PE Peru,C003-A and AS LEVEL,C003-Subject Fees,104
2020,C003,A and AS LEVEL,102000,Subject Fees,PH,Philippines,GBP,"15,398",15398,237,Southeast Asia & Pacific,PH Philippines,C003-A and AS LEVEL,C003-Subject Fees,65
2020,C003,A and AS LEVEL,102000,Subject Fees,PK,Pakistan,GBP,"4,591,150",4591150,93947,Pakistan,PK Pakistan,C003-A and AS LEVEL,C003-Subject Fees,49
2020,C003,A and AS LEVEL,102000,Subject Fees,PL,Poland,GBP,"6,431",6431,79,Europe,PL Poland,C003-A and AS LEVEL,C003-Subject Fees,81
2020,C003,A and AS LEVEL,102000,Subject Fees,PS,Palestine,GBP,"6,990",6990,72,Middle East & North Africa,PS Palestine,C003-A and AS LEVEL,C003-Subject Fees,97
2020,C003,A and AS LEVEL,102000,Subject Fees,PT,Portugal,EUR,"208,076",175755,1838,Europe,PT Portugal,C003-A and AS LEVEL,C003-Subject Fees,113
2020,C003,A and AS LEVEL,102000,Subject Fees,PY,Paraguay,USD,95,78,1,Latin America,PY Paraguay,C003-A and AS LEVEL,C003-Subject Fees,95
2020,C003,A and AS LEVEL,102000,Subject Fees,QA,Qatar,GBP,"255,909",255909,2924,Middle East & North Africa,QA Qatar,C003-A and AS LEVEL,C003-Subject Fees,88
2020,C003,A and AS LEVEL,102000,Subject Fees,RO,Romania,GBP,"68,110",68110,967,Europe,RO Romania,C003-A and AS LEVEL,C003-Subject Fees,70
2020,C003,A and AS LEVEL,102000,Subject Fees,RS,Serbia,GBP,"62,587",62587,862,Europe,RS Serbia,C003-A and AS LEVEL,C003-Subject Fees,73
2020,C003,A and AS LEVEL,102000,Subject Fees,RU,Russian Fed.,GBP,"12,384",12384,182,Europe,RU Russian Fed.,C003-A and AS LEVEL,C003-Subject Fees,68
2020,C003,A and AS LEVEL,102000,Subject Fees,RW,Rwanda,GBP,"32,901",32901,574,Sub-Saharan Africa,RW Rwanda,C003-A and AS LEVEL,C003-Subject Fees,57
2020,C003,A and AS LEVEL,102000,Subject Fees,SA,Saudi Arabia,GBP,"549,969",549969,6403,Middle East & North Africa,SA Saudi Arabia,C003-A and AS LEVEL,C003-Subject Fees,86
2020,C003,A and AS LEVEL,102000,Subject Fees,SB,Solomon Islands,GBP,"1,430",1430,22,Southeast Asia & Pacific,SB Solomon Islands,C003-A and AS LEVEL,C003-Subject Fees,65
2020,C003,A and AS LEVEL,102000,Subject Fees,SC,Seychelles,GBP,"61,089",61089,985,Sub-Saharan Africa,SC Seychelles,C003-A and AS LEVEL,C003-Subject Fees,62
2020,C003,A and AS LEVEL,102000,Subject Fees,SD,Sudan,GBP,439,439,10,Sub-Saharan Africa,SD Sudan,C003-A and AS LEVEL,C003-Subject Fees,44
2020,C003,A and AS LEVEL,102000,Subject Fees,SE,Sweden,GBP,"2,409",2409,27,Europe,SE Sweden,C003-A and AS LEVEL,C003-Subject Fees,89
2020,C003,A and AS LEVEL,102000,Subject Fees,SG,Singapore,GBP,"75,052",75052,915,Southeast Asia & Pacific,SG Singapore,C003-A and AS LEVEL,C003-Subject Fees,82
2020,C003,A and AS LEVEL,102000,Subject Fees,SH,Saint Helena,GBP,962,962,21,Sub-Saharan Africa,SH Saint Helena,C003-A and AS LEVEL,C003-Subject Fees,46
2020,C003,A and AS LEVEL,102000,Subject Fees,SI,Slovenia,EUR,"9,844",8316,97,Europe,SI Slovenia,C003-A and AS LEVEL,C003-Subject Fees,102
2020,C003,A and AS LEVEL,102000,Subject Fees,SK,Slovakia,EUR,"12,661",10455,121,Europe,SK Slovakia,C003-A and AS LEVEL,C003-Subject Fees,105
2020,C003,A and AS LEVEL,102000,Subject Fees,SL,Sierra Leone,GBP,64,64,1,Sub-Saharan Africa,SL Sierra Leone,C003-A and AS LEVEL,C003-Subject Fees,65
2020,C003,A and AS LEVEL,102000,Subject Fees,SY,Syria,GBP,"17,248",17248,197,Middle East & North Africa,SY Syria,C003-A and AS LEVEL,C003-Subject Fees,88
2020,C003,A and AS LEVEL,102000,Subject Fees,SZ,eSwatini,GBP,"18,405",18405,383,Sub-Saharan Africa,SZ eSwatini,C003-A and AS LEVEL,C003-Subject Fees,48
